Adastra Holdings Ltd
ADF Group Inc
Adler Steel Ltd
Advance Lithium Corp
Advanced Fan Systems Inc
Advanced Gold Exploration Inc
Advanced Opto-Mechanical Systems & Technologies Inc
Advantage Lithium Corp.
Adventus Mining Corp
AECOM Canada Ltd
Aecon Mining
Aereus Technologies Inc.
Affinity Metals Corp
AFR NuVenture Resources Inc
Africa Energy Corp
Afri-Can Marine Minerals Corporation
Africo Resources Ltd.
"Aggregate Management, Inc."
Agnico Eagle Mines Ltd
Aida Minerals Corp
AIM Energy Inc
AJN Resources Inc
Alamos Gold Inc
Alcan Inc.
Aldebaran Resources Inc.
